RouteGuide,rdfs:Class,RouteGuide,https://schema.org/CreativeWork,,,"RouteGuide",,,,
RouteGuideSegment,rdfs:Class,RouteGuideSegment,https://www.openactive.org/routes/ns#RouteGuide,,,"RouteGuideSegment",,,,
VerificationRecord,rdfs:Class,VerificationRecord,,,"VerificationRecord",,,,
IndicativeDuration,rdfs:Class,IndicativeDuration,,,"IndicativeDuration",,,,
RoutePoint,rdfs:Class,RoutePoint,https://schema.org/Place,,,"RoutePoint",,,,
RouteGradient,rdfs:Class,RouteGradient,,,"RouteGradient",,,,
RouteDifficulty,rdfs:Class,RouteDifficulty,,,"RouteDifficulty",,,,
RouteRiskAdvisory,rdfs:Class,RouteRiskAdvisory,,,"RouteRiskAdvisory",,,,
RouteLegalAdvisory,rdfs:Class,RouteLegalAdvisory,,,"RouteLegalAdvisory",,,,
RouteAccessRestriction,rdfs:Class,RouteAccessRestriction,,,"RouteAccessRestriction",,,,
RouteSegmentGuide,rdfs:Class,RouteSegmentGuide,,,"RouteSegmentGuide",,,,
RouteSegmentGroup,rdfs:Class,RouteSegmentGroup,,,"RouteSegmentGroup",,,,
MapReference,rdfs:Class,MapReference,,,"MapReference",,,,
TransportNote,rdfs:Class,TransportNote,,,"TransportNote",,,,
RouteDesignation,rdfs:Class,RouteDesignation,,,"RouteDesignation",,,,
RouteSurfaceType,rdfs:Class,,,,,,,
TransportToRoutePointType,rdfs:Class,,,,,,,
