oa,prefix,,https://www.openactive.org/ns#,,,,,,,,
dc,prefix,,http://purl.org/dc/terms/,,,,,,,,
owl,prefix,,http://www.w3.org/2002/07/owl#,,,,,,,,
rdf,prefix,,http://www.w3.org/1999/02/22-rdf-syntax-ns#,,,,,,,,
rdfa,prefix,,http://www.w3.org/ns/rdfa#,,,,,,,,
rdfs,prefix,,http://www.w3.org/2000/01/rdf-schema#,,,,,,,,
schema,prefix,,http://schema.org/,,,,,,,,
skos,prefix,,http://www.w3.org/2004/02/skos/core#,,,,,,,,
xsd,prefix,,http://www.w3.org/2001/XMLSchema#,,,,,,,,
pending,prefix,,http://pending.schema.org/,,,,,,,,
rt,prefix,,https://www.openactive.org/routes/ns#,,,,,,,,
